date|rating|product|cleaned_text
2016-08|5.0|Renewing Argan Oil Morocco Shampoo|i think this is a great shampoo and i love the review when i was doing research i came across this review that was very helpful for me check it out https www mapleholistics com products hair care argan oil shampoo 
2016-08|4.0|Renewing Argan Oil Morocco Shampoo|love smells great thick and rich not watered down like their conditioner counterpart because it s sulfate free you pretty much have to shampoo twice but i don t mind leaves my hair nice price is decent sometimes ulta runs bogo sales 
2016-08|1.0|Renewing Argan Oil Morocco Shampoo|very meh product dried out my hair a little i have oily roots and dry ends my hair is by default decent though it s shiny and i don t get any frizz or split ends and even then i don t really like this it doesn t make my hair soft at all it definitely costs too much for its quality there are shampoos that cost way less and do the same or even better i was looking for a substitute for my eruca shampoo which ran out and i haven t been able to find locally after i moved overseas unfortunately this isn t it i tried the conditioner too and it didn t condition my hair much the ends were still dry the treatment doesn t work that well either i mean i have the kind of hair that s okay without conditioner or treatments and even i feel like it s way inadequate immediately went back to my herbal essences conditioner which is much cheaper and way better luckily i d only gotten the trial sizes though would ve been such a huge waste of money if i got the full sizes 
2016-08|3.0|Renewing Argan Oil Morocco Shampoo|such a disappointment for my hair gave it a 3 because it smells really good it might be good for those who already have nice hair 
2016-08|4.0|Renewing Argan Oil Morocco Shampoo|this is a shampoo for people looking for sulphate free its not incredible but i like how it washes my hair and doesn t strip it i am half way through the bottle and its doing me well 
2015-08|4.0|Renewing Argan Oil Morocco Shampoo|i am currently using this shampoo i read online that it is sulphate free which is very good for our hair this shampoo really helps to moisturise my very dry and damaged hair chemically treated that i don t even need to use conditioner the price is reasonable too 
2015-08|5.0|Renewing Argan Oil Morocco Shampoo|pros used with the conditioner it is amazing leaves hair feeling sooo soft smells amazing cons a bit expensive only sold at some stores i definitely will repurchase this again i ve already been through 4 bottles love this product soo much has saved my hair 
2015-08|3.0|Renewing Argan Oil Morocco Shampoo|i want to say i love the organix brand their products are sulfate free paraben free cruelty free they don t test on animals and their packaging is made out of recycled plastic with that being said i hate giving this a bad review but i am only talking about my personal experience i have tried the organix brazilain keratin line then this line it worked for a few months then it made my hair dry and lifeless i switched to the organix coconut milk line and i love it i think organix has so many kinds of shampoos that there is something for everyone i will like to try the other ones but i honestly love the coconut milk one the best you may have a different reaction with the argan oil shampoo and that is fine i m just stating my experience 
2015-08|4.0|Renewing Argan Oil Morocco Shampoo|never thought i d say this about a drugstore shampoo but i love this shampoo cleanses amp moisturizes better than some 30 shampoos that i have tried i use this every other time i shampoo i have dyed blonde hair so i also wash it with ag silver with it s matching conditioner love love love and it goes on sale at shoppers all the time which is great 
2015-08|4.0|Renewing Argan Oil Morocco Shampoo|i have been using this product for about 2 months now i will start with pros cons then give my overall review pros it washes well without leaving any build up rinses clean the smell is nice and not overpowering left hair soft silky and no tangles easy to locate in stores cons price of bottle is high for amount of product bottle is a solid color so you can t keep track of product usage overall rating this was a recommendation to take care of my weave extensions i am currently wearing brazilian body wave texture i will say that i like the way that the product works it washes very well with a nice shine and doesn t leave my extensions matted up as i said above the price is a tad too high for the amount of product in the bottle would i recommend yes 
2015-08|3.0|Renewing Argan Oil Morocco Shampoo|after trying the ogx keratin shampoo and conditioner in the pink bottle i thought i would give this one a go at first i loved it it made my hair soft and shiny which it promises to do after a few washes using it i noticed my hair was extremely dry and got greasy way too quick causing me to have to wash my hair every 2 days which made it even more dry i switched back to the keratin one and my problem is gone if you re not a fan of this try the keratin one which also has argan in it and i love it 
2015-08|2.0|Renewing Argan Oil Morocco Shampoo|so here s the thing this product is great on my daughter s thick coarse curly hair but it s horrible on my smooth thick straight hair either that or it just hates my scalp the day after washing it turns my scalp into an oily mess 
2015-08|2.0|Renewing Argan Oil Morocco Shampoo|the consistency of this shampoo is goopy while it does not contain sulfates it contains sodium c14 16 olefin sulfonate which is a harsh detergent and silicones i just do not like the way my hair feels after washing with this when my hair dries it is limp and lifeless 
2015-08|3.0|Renewing Argan Oil Morocco Shampoo|i love the organix range the hydrating macadamia oil mask being my hg product curl cream amazing and kukui oil defrzzing scary works wonders too so i thought i would try the renewing moroccan argan oil shampoo amp conditioner for a girl with super tight and long 3c curls i need the hydration and argan oil is awesome for that the packeting is super cute bright and easy to get the desired amount which i is always a plus i went into the chemist and saw a jumbo bottle just for 12aud which is crazy here in aus so i brought it excited to use it when i washed my hair the shampoo tried my hair out which is normal then i conditioned left it in for 5 7 mins which i do with all my conditioners my hair felt soft but nothing amazing so i thought i will just let my hair dry as i normally do as i blew dried my hair as usual using the same products my hair was flat no volume no frizz my curls were loose i was shocked i was so confused how a shampoo and conditioner could do that but i work in a chemist were we sell these products and straight haired ladies swear by this product i would recommend this product if you don t want frizz this defiantly works for frizz i have given this product another go and i let my hair air dry instead and my hair dried like 2c curls 
2015-08|2.0|Renewing Argan Oil Morocco Shampoo|i got sucked in by advertising again it s kind of okay i guess i don t feel like it s any better than any other shampoo i ve used but it s so much more expensive the formula is weird and goopy and i find it hard to get it to lather up wouldn t repurchase 
2015-08|5.0|Renewing Argan Oil Morocco Shampoo|i don t get the bad reviews i used this shampoo and conditioner last night and this morning my hair is so fluffy and clean feeling really soft and bouncy the shampoo lathered a ton and the conditioner has a lot of slip the smell is awesome amp they were b1g1 at rite aid so i only paid 8 for both good deal and a good product i would repurchase 
2015-08|1.0|Renewing Argan Oil Morocco Shampoo|this left my hair dry frizzy hard to style and in tangles it didn t lather very well and was very drying to my scalp and the ends of my hair especially to the point that i couldn t brush it out with a wide tooth comb it was horrible and was very pricey i liked the smell and the packaging but the overall product is horrible threw it out and never looked back 
2015-08|1.0|Renewing Argan Oil Morocco Shampoo|nothing special about this shampoo at all smell isn t great dries my ends i like when a shampoo leaves a pleasant hair smell this shampoo and conditioner does not 
2015-08|1.0|Renewing Argan Oil Morocco Shampoo|this is probably one of the worst shampoos i ve ever used there is nothing organic about it but that s not the only issue i have with this shampoo it could tell just by the way it lathered it d be drying it has a glue like consistency and took a while to rinse out fully it left my hair a tangly dry and frizzy mess after one use i knew i wouldn t use this shampoo again i bought the conditioner as well but i was so upset with the results from the shampoo i didn t even want to try it thankfully i got the travel sizes from ulta please get the travel size first if you must try this 
2015-08|2.0|Renewing Argan Oil Morocco Shampoo|this shampoo ruined my hair it left my hair feeling dry and damaged irritated my scalp just after the first use thrown it away and trying to get my hair back to a healthy condition 
2014-08|3.0|Renewing Argan Oil Morocco Shampoo|i don t hate this stuff but by no means do i love it the odd texture of the products gets me every time it s slime like and gunky it does lather up well and has a pleasant texture the problem for me is that my hair feels dry after i rinse this shampoo from my hair i love the way argan oil makes my hair feel but honestly i could not detect it in this shampoo at all my usually greasy hair does feel soft and nourished after using this shampoo with the matching conditioner but it usually only lasts for less then a day by the second day all softness is lost i wouldn t buy this again 
2014-08|3.0|Renewing Argan Oil Morocco Shampoo|i used to love this stuff recently however i haven t it dries out my hair and the moisture it does give only last for a few hours i just don t like it like i used to 
2014-08|2.0|Renewing Argan Oil Morocco Shampoo|i m sure there s some benefit to this new argan oil craze i m sure it s great for your hair but everything that has argan oil in it smells awful to me it smells like an old man s stinky cologne i used this a couple of times and tried to like it but the smell lingers in my hair forever and made me nauseous i work at a nursing home so i gave it to one of my patients 
2014-08|5.0|Renewing Argan Oil Morocco Shampoo|im so surprised this shampoo s rate is low this is the only shampoo that made my frizzy hair soft and easy to manage 
2014-08|3.0|Renewing Argan Oil Morocco Shampoo|i got the 50 more bonus bottle 19 5 fl oz of this the conditioner from a local supermarket for 5 99 each my friends looooooove this stuff and i was curious to try it out it s much thicker and more gelatinous than any shampoo that i ve ever used before maybe this consistency is why it doesn t lather nearly as much as other shampoos it s lightly perfumed and it smells wonderful the product promises a sleek sexy shine i have rough dry hair and it made almost no difference other than cleaning it i used both the shampoo and conditioner from this line for about 2 weeks straight and i can say that my hair is in the same condition it was before i started using this line it s mediocre and not that great but it does its job as a shampoo it didn t make my hair shinier or sleek like it said it would i bought it on impulse and because it was 50 more than the usual bottle i may buy it again but there s better shampoos for the price considering that one normal sized bottle is pretty small and quite pricey at almost 6 
2014-08|2.0|Renewing Argan Oil Morocco Shampoo|this dried my hair out and tangled it up so bad it smells great and i was excited to use it because actual argan oil was nice on my hair and skin but for some reason this just mummified my hair 
2014-08|2.0|Renewing Argan Oil Morocco Shampoo|update wth why would they re formulate with non natural ingredients inc dimethicone cost perhaps or maybe complaints from people saying they couldn t get a lather it was drying etc just re purchased then noticed the ingredients list has changed i loved using this shampoo in my rotation but my love affair only lasted one bottle oh well i m returning it to boots as their website shows the old ingredients list and i obv won t re purchase unless i can find some old bottles on ebay now i understand some of the negative reviews original review considering argan oil is fairly high up on the ingredients list as well as other natural oils this is a reasonably priced shampoo i m stunned at the negative reviews on this shampoo as i ve had such a positive experience with it so far but i wonder if they re mostly from people whose hair is very dry already as more natural shampoos won t usually do your hair any favours when it comes to moisture even though this one is supposed to give you moisture it probably wouldn t give enough for those hair types anyhow despite being a regular oiler mostly for hair growth recently i ve been finding i need a slightly more moisturising shampoo than i m used to in order to avoid tangles as i grow my hair longer nothing too conditioning just a natural ish shampoo that won t leave my hair squeaky clean just clean i have coloured fine bra strap length hair with a slight wave and i normally do well with mild natural shampoos i don t want sls or anything else colour stripping or dimethicone it contains dimethicone copolyol a water soluble silicone derivative and i don t mind a slight lack of lather which you expect when you leave out sls it s early days but this seems to fit the bill i don t use the matching conditioner as i m happy with my current ones i m not sure i d want to use this one every time i wash as i think i would soon get buildup at my oily roots but as it doesn t make my fine hair a stringy mess or overload it i m pleased btw the texture really reminds me of faith in nature jojoba shampoo for dry hair i gave up on that really quickly about a year ago as i don t think i understood you have to emulsify it with water in your hand to get a lather before working it into your hair i might give it another try if i can t find the old formula for this shampoo 
2014-08|5.0|Renewing Argan Oil Morocco Shampoo|ive been using this for 2 years since garnier fructis changed their triple nutrition line changed and i love this shampoo and conditioner the conditioner is amazing however the shampoo can be a bit stripping but i find that the conditioner fixes the problem i use the conditioner to co wash in the winter and i love it i wear weaves and braids and it works amazing with them as well i do want to try a new shampoo because its expensive but i always seem to go back to them i thought i had 4c hair because in the beginning of my transition my hair was unmanageable but after i started using silicon mix and castor oil my hair is more of a 4a 4b i bleached my hair and this condition seems to be the only thing that works to keep it healthy i loveeee itttt i have to say i have noticed a slight change from when i started using it to now but i still love it ive tried other organix coconut regular argon oil shea butter and my hair felt like straw afterwards so idk what it is about this one but i love it
2014-08|3.0|Renewing Argan Oil Morocco Shampoo|personally i would only use this product again if i had ran out of a better shampoo it does a good job of cleaning my hair and lathers well but doesn t make my hair feel soft at all in fact i can feel my hair drying out as my hair gets cleaner the texture of the shampoo is very silky and thick which feels lovely as i put it on my hair it has a nice smell but doesn t last long after it has been rinsed out i have 4c coarse hair tbh the conditioner is a bit better than the shampoo for the price i think organix could have done a lot better 
2014-08|2.0|Renewing Argan Oil Morocco Shampoo|there doesn t seem to be much oil in this at all unlike the elvive one this is awful it makes my hair frizzy and the only thing good about it is that it smells good
2014-08|5.0|Renewing Argan Oil Morocco Shampoo|makes my hair so so so soft absolutely love it
2014-08|1.0|Renewing Argan Oil Morocco Shampoo|this is probably the worst shampoo and conditioner i have ever used i have really long hip length hair that tends to be naturally wavy or slightly curly so of course i need as much hydration as possible to maintain it and up until using this shampoo and conditioner i have done really well my hair is always shiny and soft and if i have curls they are bouncy and soft however i bought organix renewing argan oil of morocco and after using it once i thought it would be a good buy at first use it makes the hair feel very thick and it lathers up into a dream the conditioner was thick and also made my hair feel really moisturized and thick in the shower but as soon as i rinsed i noticed a big change in my hair it felt rough and brittle i got out of the shower and let it dry and immediately noticed it was frizzy with almost no shine and it was a big tangled mess the next day i did the exact same thing except i blow dried it was a little more manageable but still frizzy and dry and brittle with almost no shine i bought the larger bottle of the conditioner and shampoo and i will not be finishing using either of them because even though this shampoo and conditioner was a little more pricey than what i normally buy it is not worth ruining my hair i have since purchased my usual tresemme and noticed after only one use that my hair was feeling better than after a whole week of using the moroccan oil shampoo from organix don t let the whole quot moroccan oil quot and quot organic quot thing fool you this product is a big waste of money and will torture your hair 
2014-08|5.0|Renewing Argan Oil Morocco Shampoo|i love this product it has my hair silky and frizz free i dont need any additional products to tame my hair as this works well on its own 
2014-08|2.0|Renewing Argan Oil Morocco Shampoo|thank goodness i bought only a couple of the trave sized bottles it felt very drying on my hair and made my hair tangled it doesn t lather that well either so i m surprised it would be so stripping it does have a nice scent and left my hair shiny but that is pretty much it i am very disappointed as i have had luck with other organix shampoos in the past my favorite is the macadamia one in the brown bottle i will probable reserve the remaining bottles for when i need to clarify or pass them on to family members back to the drawing board 
2014-08|4.0|Renewing Argan Oil Morocco Shampoo|a little info about my hair before i review this product it s long reaches about mid lower back fine straight un dyed and normal with a slight lean towards oily during the warmer months and around my period my usual hair care routine shampoo amp condition focusing mostly on the lower 1 3 of my hair especially the tips every 2 3 days with a bit of argan oil run through after again focusing mostly on the ends with my hands and fingers almost always towel air dried i bought this product because i was desperate this past winter was for my area incredibly cold and cry my normal hair care routine just wasn t cutting it my hair was so dry it was brittle and straw like not something i ever really encounter since i don t straighten or blow dry my hair often i d bought travel sizes of a different shampoo conditioner with argan oil the previous year so i wouldn t have to pack a full sized bottle of oil and remembered liking it couldn t find that brand and saw this at cvs and thought quot what the hell why not quot it worked like a miracle after a few uses my hair was back to it s usual silky soft self i feel like this product gently cleans my hair well without stripping it duh which i really really like this shampoo and the matching conditioner became the only stuff i used during the winter and will definitely use again if the next cold season is the same that said i probably would not use this during the summer or if i had oily hair and would not recommend unless your hair is incredibly dry damaged or you live in a very cold arid climate some other info the packaging is unique imo and stands out in both color and shape amongst the rest of the crap in my shower however it can be difficult to squeeze the product out once you nearing the bottom of the bottle i enjoy the smell of this shampoo it s kind of a light musky floral y scent the texture consistency of both the shampoo and conditioner took some getting used to very viscous and almost gel like it also takes quite a bit of work to get a nice lather going which doesn t bother me in the slightest but may bother others i believe the conditioner says to let it sit on your hair for a few minutes i forget how long exactly but i just leave it for however long it takes to wash exfoliate my face not more than a minute or two i ve noticed while my hair is wet after using this product it s a bit difficult to brush comb through i usually end up letting it air dry most of the way before brushing it once my hair is dry it s so unbelievably soft and it doesn t look too flat either which is a bonus 
2014-08|1.0|Renewing Argan Oil Morocco Shampoo|i used it a while ago and never again a friend with dryish hair recommended it to me saying it worked great and it was very moisturizing oh boy she was sooo wrong it left my hair feeling like straw and it wasn t that dry to begin with and also very tangled very bad shampoo 
2014-08|1.0|Renewing Argan Oil Morocco Shampoo|i had high hopes for this product since it has argan oil in it but it left my hair soooo dry i will not buy this again 
2014-08|2.0|Renewing Argan Oil Morocco Shampoo|its not horrible but for the price i think a one dollar shampoo works exactly the same the only good thing is the smell but other than that it sucks i have to use like a quart of the bottle to make my hair feel clean and to make it lather decently so if you have long 3b a curls steer clear of this product 
2021-02|1.0|Ever Straight Brazilian Keratin Therapy|i absolutely hate hate haaaattteeee this product i will never use this again my hair is never snarly but i used this shampoo amp conditioner and i could barely even brush through my hair my hair is now dry and fuzzier then ever i was so excited to use this but truly disappointed with the results the only reason i gave 1 star is it smells good that s all this has going for it would absolutely not recommend 
